cv_rmse,test_rmse,alpha,beta_w,beta_h,beta_z,beta_s,beta_t,cv_rmse_se,test_rmse_se,nlperf_only,dataset_features,lang_features,with_trfm,with_small100_ft,with_small100_noft,with_model_noft
2.4402319253709095,2.730709222065081,0.0046,0.1,0.1,0.064,0.01,0.01,0.17551862307671243,0.24705455369856605,False,True,True,True,True,True,True
3.1753009807369272,3.6540738362777683,0.0082,0.1,0.1,0.01,0.01,0.01,0.20417764497654148,0.25882075601869414,True,False,False,False,False,False,False
3.296903681316637,4.01405789768161,0.0028,0.1,0.1,0.01,0.01,0.01,0.2954738287528287,0.4170820543640289,False,True,False,False,False,False,False
3.370846465817416,3.8831788023184886,0.0082,0.1,0.1,0.01,0.01,0.01,0.16634581397499537,0.36775975980833336,False,False,True,False,False,False,False
3.1437062127927144,3.6481659334924936,0.0064,0.1,0.1,0.01,0.01,0.01,0.21050869400546454,0.25469367437573565,False,True,True,False,False,False,False
3.010304749027407,3.483974045115885,0.0082,0.1,0.1,0.028000000000000004,0.01,0.01,0.3364391897287817,0.5027561577845266,False,True,False,True,False,False,False
2.8966219137338443,3.185529939923496,0.0082,0.1,0.1,0.01,0.01,0.01,0.2840044523086288,0.27125681149959846,False,False,True,True,False,False,False
2.856187254581837,3.277377698952415,0.0064,0.1,0.1,0.01,0.01,0.01,0.2591022388564454,0.3333984021902563,False,True,True,True,False,False,False
2.97961917256454,3.29810743494995,0.0082,0.1,0.1,0.028000000000000004,0.01,0.01,0.23742867578629556,0.38199075944959876,False,True,False,False,True,False,False
2.8546031230152336,3.079262177170107,0.01,0.1,0.1,0.01,0.01,0.01,0.13197794816021438,0.23490086749381497,False,False,True,False,True,False,False
2.811498893668216,3.0989117228885545,0.01,0.1,0.1,0.01,0.01,0.01,0.12687166375886383,0.23312209297155695,False,True,True,False,True,False,False
3.261008256785302,4.0878924808926165,0.0046,0.1,0.1,0.01,0.01,0.01,0.3081525926768166,0.35459110733601656,False,True,False,False,False,True,False
3.17338363979379,3.838053543253835,0.0082,0.1,0.1,0.01,0.01,0.01,0.12524698276256135,0.4406600129336371,False,False,True,False,False,True,False
2.9863718567471444,3.5248285296247808,0.0064,0.1,0.1,0.01,0.01,0.01,0.16529698429830758,0.3058691155596123,False,True,True,False,False,True,False
2.9027648456578015,3.252159029073539,0.0064,0.1,0.1,0.028000000000000004,0.01,0.01,0.241793721994601,0.4045007872746941,False,True,False,False,True,True,False
2.7501708929611732,3.0956629362585715,0.01,0.1,0.1,0.01,0.01,0.01,0.13622680934537726,0.2868418028346725,False,False,True,False,True,True,False
2.70985499758192,3.0254919690067297,0.01,0.1,0.1,0.01,0.01,0.01,0.15572287509810345,0.2624663181530203,False,True,True,False,True,True,False
2.8807877816356395,3.0759004369379803,0.0064,0.1,0.1,0.01,0.01,0.01,0.20344604058070423,0.23670117379299319,False,True,False,False,False,False,True
2.8297046771410406,2.965427249587441,0.0082,0.1,0.1,0.01,0.01,0.01,0.17512504157347317,0.3922923900807416,False,False,True,False,False,False,True
2.7321920828732345,2.7873954067723785,0.0046,0.1,0.1,0.01,0.01,0.01,0.17229266988556155,0.19663722512320742,False,True,True,False,False,False,True
